"","waldStat","df","pvalue","meanLogFC"
"LRBA",64.1177710938914,5,1.70785607878088e-12,0.368526251430386
"TNFRSF10B",63.8503324400008,5,1.94033678013739e-12,1.04265460021292
"DENND1A",63.3353230585308,5,2.48090437082737e-12,0.43685655451954
"LINC00342",63.044252335394,5,2.85038659342263e-12,1.47906617377577
"PRDM1",62.8958435864629,5,3.05944158895954e-12,2.84386404006335
"MFSD4B",62.6177059620522,5,3.49331674698306e-12,0.28506323521091
"HES1",62.5071827874326,5,3.68238772807672e-12,0.170519959023243
"ENSG00000287645",62.481515277731,5,3.72768482748143e-12,3.15286296287068
"PCDH7",62.2490241926448,5,4.16455758767142e-12,0.483815902788004
"KHDRBS2",62.14359509727,5,4.37916369833147e-12,0.797643295537751
"GMDS-DT",62.0423703471533,5,4.59565718813337e-12,1.04502488171923
"OAZ1",61.7429355641971,5,5.30053778646788e-12,0.578546690267127
"DPM2",61.6903937551888,5,5.43487477244753e-12,0.404975615487051
"RPL26",61.509372691522,5,5.92437210400476e-12,0.729546552772586
"MEIS2",61.4790225639063,5,6.01063643301813e-12,0.518028128563752
"PROS1",61.1263413539382,5,7.11020131660689e-12,0.727874823220057
"FHIP1A",60.9252440345826,5,7.82474085525564e-12,0.600034497794669
"EIF4G3",60.8439788375763,5,8.1334938784039e-12,0.534678325546255
"MDK",60.8387613085397,5,8.15369993745207e-12,0.426158190467405
"CCDC144NL-AS1",60.7735876393476,5,8.4107165676528e-12,0.315798450763802
"PDLIM5",60.6937354175811,5,8.73656702538028e-12,0.316181021929828
"RALYL",60.6465126585863,5,8.93518592448572e-12,0.690104046074476
"DLG2",60.5879514462573,5,9.18787268489041e-12,0.605770180919316
"SH2D3A",60.2266146166012,5,1.09120490421333e-11,0.793391012981898
"VCL",60.1158818070171,5,1.15024656466289e-11,0.335314216839871
"SORBS2",60.0706122620086,5,1.17529319609844e-11,0.35839980835503
"HERPUD1",59.9212132296789,5,1.2618905920192e-11,1.06439337201655
"RPL24",59.7892247520722,5,1.34366962001309e-11,0.609316463301835
"PROM1",59.669817012501,5,1.42220679677507e-11,0.874429741990393
"LRP6",59.6673807221632,5,1.42384992685152e-11,0.32759503591857
"EZH2",59.640157935418,5,1.44241285582325e-11,0.597587856919946
"RPS12",59.5156335077554,5,1.53042023498529e-11,0.455593348694333
"SAT1",59.4551677098664,5,1.57507340503571e-11,0.341429129412208
"AMER2",59.4097541086428,5,1.6094681143386e-11,0.850195417863459
"RPS13",59.314897457356,5,1.68373093245577e-11,0.618419823784356
"KCNJ3",59.2875713494686,5,1.70575775726434e-11,0.622875725011203
"NTNG2",59.174802794214,5,1.79971593183836e-11,1.33935887121134
"RPS3A",59.0390826059738,5,1.91968663187936e-11,0.516958087391018
"MIR124-1HG",58.9105728431975,5,2.04062322595178e-11,4.20135503945886
"RAD51B",58.8288156652519,5,2.12149187106547e-11,0.523372223951627
"CFI",58.7989174414256,5,2.15185647078897e-11,0.540215892449636
"BRI3",58.7227068778102,5,2.23123741704967e-11,1.22303492158192
"MT-ND5",58.6316814090687,5,2.32989183501786e-11,0.985354697439097
"PDE4D",58.5639986380083,5,2.40605313450715e-11,0.395372511159244
"PKM",58.5137489271219,5,2.46420661653701e-11,0.614390752768028
"RERE",58.4185250846028,5,2.578270930087e-11,0.220414176692689
"TBC1D5",58.0689983664333,5,3.04404279560799e-11,0.349641149160257
"LINC-PINT",58.018594340745,5,3.11780601336409e-11,1.59849617657037
"PSAT1",58.0175905785836,5,3.11929371221709e-11,1.23143313435948
"CDH11",58.012276824431,5,3.12717629569192e-11,0.217308230895681
"DPYD",57.9949986366209,5,3.15294457209347e-11,0.535727735879115
"RPL34",57.9948232777097,5,3.15321102561938e-11,0.488270861985592
"LUC7L",57.9928199016867,5,3.15620862778587e-11,0.390376862138248
"TMEM108",57.8871256501934,5,3.31871197190026e-11,2.42059106717411
"CEROX1",57.7873563385629,5,3.47974982162214e-11,1.11200478960186
"CLU",57.5762264444566,5,3.84672294018173e-11,0.493013456139314
"CDKN1A",57.4150132522409,5,4.15273371245917e-11,1.632541192573
"JUNB",57.3791028595097,5,4.22414325740306e-11,0.568259261063351
"RPL23",57.3641519913581,5,4.2542303013704e-11,0.490491328343727
"HCN1",57.1683267320359,5,4.66866545423272e-11,0.854529515913578
"STK33",57.1493535674399,5,4.71089833808946e-11,0.528868835674559
"FCHSD2",56.7072559032753,5,5.81057424398068e-11,0.376277972848031
"RASGEF1B",56.6330582016526,5,6.01877436778864e-11,0.719612850780631
"ATP2B1",56.3285733198682,5,6.95401514150262e-11,0.551677808602906
"NKTR",56.299565563691,5,7.05036029557959e-11,0.279028853883697
"RPL10",56.2051044065665,5,7.37339078682453e-11,0.395577364874711
"ARHGAP39",56.2007136349857,5,7.38875627348534e-11,0.490850372358707
"PPFIA2",55.7588105205643,5,9.11102304712585e-11,0.450940078865733
"PSAP",55.6376701334739,5,9.64952562299004e-11,0.282163313431018
"FHOD3",55.62878026151,5,9.69027080799378e-11,0.429076551668045
"GPNMB",55.5802406423718,5,9.91579041098589e-11,1.22555055004348
"MSANTD4",55.5424828362302,5,1.00948360781672e-10,0.637550992101916
"NREP",55.4074872575893,5,1.07617803557503e-10,0.952487046174254
"NLK",55.3483370106715,5,1.10676912079555e-10,0.932620919473469
"ADCY1",55.0524123893929,5,1.2733514243024e-10,1.62054790823436
"RPS14",54.9990083159792,5,1.30597532788101e-10,0.812810290999846
"NBEA",54.9918255228426,5,1.31042732220976e-10,0.342821586170232
"MIR9-1HG",54.5737316520535,5,1.59737556515438e-10,1.56414337363786
"GDF15",54.5331942640732,5,1.62833191375e-10,1.84960677579279
"GPM6A",54.4669317363087,5,1.68022817881308e-10,0.180216577354658
"DST",54.3840791224175,5,1.74744441139296e-10,0.260304695819395
"DDX17",54.2919145270898,5,1.82537318593745e-10,0.305187999672257
"LINC01572",54.18529115402,5,1.91986315734027e-10,0.687616513632131
"DCLK2",54.092868695654,5,2.00570782205034e-10,0.745814400205163
"LTBP3",53.8619698919974,5,2.2372848018648e-10,1.36393808723212
"DNAAF9",53.7810621675026,5,2.3245916302983e-10,0.680414489575697
"DENND2B",53.7242429365137,5,2.38792874363014e-10,0.375256526015479
"NECTIN2",53.7083962874983,5,2.4058977032837e-10,0.378261961127529
"SORCS1",53.6497755496432,5,2.47355247395831e-10,0.189283978481799
"GPM6B",53.6448785531902,5,2.47928899632655e-10,0.247210192024792
"MYEF2",53.5486476845417,5,2.59475663177966e-10,0.315408917421931
"ARHGAP18",53.5179996870702,5,2.63264632316407e-10,0.611320863519446
"EEPD1",53.4899801132487,5,2.66776822854808e-10,0.951556076862134
"ENSG00000236065",53.3410815547031,5,2.86241030877932e-10,0.564353647665644
"PIR",53.3378861101373,5,2.86673906835233e-10,1.40511043166307
"RPS21",53.3136046654727,5,2.89984702916968e-10,0.201292533107415
"ENSG00000227486",53.2923886367566,5,2.92908697296923e-10,0.506741618602024
"MAML2",53.14277389374,5,3.14381298771593e-10,0.348994840499024
"BPTF",52.9443079363127,5,3.45307338278644e-10,0.336913070231253
"RPL27",52.7959566564241,5,3.70390385029395e-10,0.59976314937686
"VCAN",52.7755869220837,5,3.73973518819071e-10,0.786389272564656
"RPL15",52.7532080703349,5,3.77950004626371e-10,0.568644256523189
"SCN3A",52.6807047502704,5,3.91125021259597e-10,0.69273753183038
"TRH",52.6565191482528,5,3.95621091442422e-10,0.744230399274181
"UCHL1",52.4729175527209,5,4.31476743223413e-10,0.936941147774052
"RPS16",52.4311979464183,5,4.40066094675728e-10,0.427320842299278
"ZNF385D",52.3252409365159,5,4.62655469490869e-10,0.279492848885035
"RNF165",52.2735803411742,5,4.74085104507083e-10,1.0356313957603
"DDHD1",52.1395943725875,5,5.05058661559588e-10,0.346686611705344
"AFF2",52.1284113343791,5,5.07733410870514e-10,0.822921935240877
"HMGA2",52.1101086979162,5,5.12141440367486e-10,0.330569338929317
"EXOC6B",52.0815164913129,5,5.19104204066423e-10,0.371606514213602
"WNT5B",51.8340695254465,5,5.83447179458574e-10,0.781391263851001
"GADD45G",51.7149927734899,5,6.17187523310747e-10,1.38724095966035
"ENSG00000285664",51.6831924967834,5,6.2652294463561e-10,0.452602659279424
"CIRBP",51.6774946724393,5,6.2821048363304e-10,0.573331385217229
"MAPK4",51.6321890683346,5,6.41790731670255e-10,0.264363218845385
"MSI1",51.5984178847648,5,6.52103815390603e-10,0.975804568660216
"RPL27A",51.3649965360019,5,7.28051730014556e-10,0.418389958984991
"BBC3",51.3644741859025,5,7.28231253077638e-10,1.56662846039307
"COL4A2",51.2899099980667,5,7.54311058059898e-10,0.32757580424452
"MT-ND2",51.2305507193588,5,7.75737252212139e-10,0.430736610468376
"SNCA",51.033295165219,5,8.51395398626664e-10,1.16968643948163
"FMN1",50.9268998515545,5,8.95215124252502e-10,2.26619961088793
"FAT3",50.8825522809288,5,9.14137876506516e-10,0.278041294658636
"ANO2",50.7216306401369,5,9.86214554465903e-10,2.59812331948283
"CNTN1",50.7065391823489,5,9.93258142401032e-10,0.399058070467458
"TMTC1",50.6153415962744,5,1.03690289687819e-09,0.418010199714219
"PER1",50.6032792712995,5,1.04281705493037e-09,1.00979923990973
"LRRTM4",50.5631493199,5,1.06273601030438e-09,0.609359312757456
"SETBP1",50.3570823246755,5,1.1711572822648e-09,0.397403915693931
"PDE10A",50.2600659722466,5,1.22595544826964e-09,0.799250711679525
"CCSER1",50.1400461485755,5,1.29729849085436e-09,1.04677720561375
"SMYD3",50.0149883841996,5,1.37604505567879e-09,0.571550885104162
"DPYSL3",49.8408077277784,5,1.49372947344517e-09,1.21154778645917
